,Video Title,Links,Channel Name,Duration,Views,Likes,No. of Comments,Days since Upload
111,Indian Budget 2023 | ABCD of Budget | Complete Detailed Analysis in Hindi | UPSC 2023 | Madhukar Sir,https://www.youtube.com/watch?v=QVs9UfkRUBs,Mint,,"48,007",3.5K,109,29
112,"Kaam ki Baat, No Bakwaas! | Everything you need to know : Budget 2023 | LLA",https://www.youtube.com/watch?v=yNhPt_DukN4,ABP NEWS,9:59,"616,121",36K,1106,29
113,Budget 2023: All eyes on India | Latest News | International News | Top News | English News | WION,https://www.youtube.com/watch?v=lskQtEbHdk0,The Hindu,7:49,"28,917",232,72,31
114,"India Budget 2023: नए भारत का बजट, जानें बजट से 7 बड़ी उम्मीदें | Latest News | Nirmala Sitharaman",https://www.youtube.com/watch?v=2yG0IkJgaT0,ABP NEWS,3:46,"6,929",84,4,30
115,"Budget 2023: भारत का बजट, 50 बड़ी खबरें सिर्फ R.Bharat पर | Nirmala Sitharaman | Union Budget 2023",https://www.youtube.com/watch?v=1WHkt05vEPM,Technical Sagar,15:01,"112,027",Like,39,30
116,Union Budget 2023 : बजट में रोज़गार का हुआ ? | Nirmala Sitharaman,https://www.youtube.com/watch?v=9kM-fGzKIWk,News Nation,25:10,"11,640",104,9,30
117,Budget 2023 - 2024 | Highlights of Budget | Nirmala Sitharaman | January 2023,https://www.youtube.com/watch?v=wCU1jvkZoAg,NDTV India,35:28,"49,087",2.4K,83,29
118,"India's budget session 2023 begins, President Murmu gives a joint address to the Parliament",https://www.youtube.com/watch?v=B_xxdPEYVBo,India Today,10:14,"6,100",51,11,31
119,"Union Budget 2023: Majority Of Indian Households Face Savings Crunch, Want Relief",https://www.youtube.com/watch?v=4OweU_LqNQw,SumanTV Telugu,23:30,843,7,3,31
120,"Union Budget 2023: रहिए तैयार, नए Budget में हो सकते हैं बदलाव, आप पर कितना असर | वनइंडिया हिंदी",https://www.youtube.com/watch?v=xtX5ygKEbBo,Exam रस,23:30,"5,880",47,4,35
121,Experts Decode The Fine Print Of Union Budget 2023 At India Today Budget Roundtable,https://www.youtube.com/watch?v=Z1lnCsoFkwU,Labour Law Advisor,57:05,760,4,1,25
122,"Union Budget 2023 Affect on Gold and Electronics,Cigarettes Prices @SakshiTV",https://www.youtube.com/watch?v=UYHYi4pLk7k,WION,8:35,"316,992",1.7K,109,30
123,Budget 2023 में Education Sector के लिए क्या है खास? | Budget For Indian Youth ।Quint Hindi,https://www.youtube.com/watch?v=d_6yRluvzyY,News Nation,23:30,"4,892",102,5,30
124,What Are The Expectations From Union Budget 2023-24 ? | Impact On Indian Economy | UPSC 2023,https://www.youtube.com/watch?v=02Ve7zci7wU,Republic Bharat,14:55,"23,198",1.1K,86,31
125,Budget 2023: Top Voices In Finance On Republic's Post-Budget Panel | Unmissable,https://www.youtube.com/watch?v=21jczUpHCBw,TV9 Bharatvarsh,44:48,"7,213",Like,12,30
126,India's Reform Drive | Decoding Budget 2023 Expectations | A Billion Ideas | English News | News18,https://www.youtube.com/watch?v=kivOz08v1FM,Parcham Classes,53:28,"2,615",12,1,34
127,Budget Highlights 2023 | My Top 3 Picks | CA Rachana Ranade,https://www.youtube.com/watch?v=mrhj4LqMZqY,WION,18:04,"237,452",6.6K,579,30
128,Budget 2023 To Recognize Contribution Of Indian Middle Class: Sources | Halftime Report | CNBC-TV18,https://www.youtube.com/watch?v=1iC3qyw5twQ,India Today,22:18,"4,933",28,2,35
129,Indian Budget 2023 | ABCD of Budget | Part 2 | Complete Detailed Analysis | UPSC 2023 | Madhukar Sir,https://www.youtube.com/watch?v=2lbZs1Techs,ABP NEWS,2:18:32,"21,357",1.9K,35,28
130,Union Budget 2023 Analysis & Opinion Session | Experts From The Indian Express,https://www.youtube.com/watch?v=qdQPcrVyIsk,Oneindia Hindi | वनइंडिया हिंदी,35:36,"3,378",28,2,30
131,Budget 2023: How & Why FM Should Rejig the Income Tax Regime? | India Tonight,https://www.youtube.com/watch?v=6EYbdXZkzJs,India Today,13:11,"4,831",36,8,56
132,Budget 2023: सस्ते भारतीय phones लेकिन फिर भी middle class ले रहा iPhone Panasonic Chairman Reaction,https://www.youtube.com/watch?v=QrY9fHN2HBU,Sakshi TV,25:44,"4,238",92,2,28
133,"Budget 2023 से खुश हुआ Taliban, PM Modi के नाम पर पढ़े कसीदे | वनइंडिया हिंदी",https://www.youtube.com/watch?v=vvusHG7p85c,Quint Hindi,3:18,"805,465",7.6K,231,28
134,Union Budget 2023: What Are The Key Touch Points Of Modi Govt Budget Likely To Be?,https://www.youtube.com/watch?v=pw9_Dbgo5G8,BYJU'S IAS,5:23,"3,240",20,3,30
135,Budget 2023 reactions: Here's what IIM-B students think of India's first 'Amrit Kaal' budget,https://www.youtube.com/watch?v=tNJxbm8blq8,IndiaTV,5:23,"2,422",33,0,30
136,Union Budget 2023 Highlights : बजट भाषण की अब तक की बड़ी बातें | जानिए क्या हुआ सस्ता और क्या महंगा?,https://www.youtube.com/watch?v=BhKQKMprKl0,Republic World,30:39,"17,111",Like,12,30
137,Complete Budget : 2023-24 | Concept + Current Affairs in 13 Hours | UPSC 2023 & 2024 | Madhukar Sir,https://www.youtube.com/watch?v=6vRimD35aEc,CNN-News18,,"41,665",3.2K,74,14
